+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                ;
+----------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+----------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; led_inst                                                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|adc_inst|adc_inst|permit_inst|shc_time|delay_inst ; 15    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|adc_inst|adc_inst|permit_inst|shc_time            ; 15    ; 11             ; 0            ; 11             ; 12     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|adc_inst|adc_inst|permit_inst|shc_step|delay_inst ; 13    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|adc_inst|adc_inst|permit_inst|shc_step            ; 13    ; 9              ; 0            ; 9              ; 10     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|adc_inst|adc_inst|permit_inst|cic                 ; 19    ; 5              ; 0            ; 5              ; 11     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|adc_inst|adc_inst|permit_inst                     ; 51    ; 0              ; 1            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|adc_inst|adc_inst|adc_inst                        ; 4     ; 7              ; 0            ; 7              ; 99     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|adc_inst|adc_inst                                 ; 40    ; 0              ; 0            ; 0              ; 93     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|adc_inst                                          ; 58    ; 0              ; 0            ; 0              ; 21     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|hv_ena_inst                             ; 37    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[9].flt_inst|lpf_inst          ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[9].flt_inst                   ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[8].flt_inst|lpf_inst          ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[8].flt_inst                   ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[7].flt_inst|lpf_inst          ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[7].flt_inst                   ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[6].flt_inst|lpf_inst          ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[6].flt_inst                   ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[5].flt_inst|lpf_inst          ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[5].flt_inst                   ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[4].flt_inst|lpf_inst          ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[4].flt_inst                   ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[3].flt_inst|lpf_inst          ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[3].flt_inst                   ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[2].flt_inst|lpf_inst          ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[2].flt_inst                   ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[1].flt_inst|lpf_inst          ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[1].flt_inst                   ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[0].flt_inst|lpf_inst          ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|gen_limsw[0].flt_inst                   ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|piso_ctrl|piso_inst|clk_div_inst        ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|piso_ctrl|piso_inst                     ; 21    ; 3              ; 0            ; 3              ; 21     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|piso_ctrl                               ; 20    ; 0              ; 0            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|piso_ind|piso_inst|clk_div_inst         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|piso_ind|piso_inst                      ; 29    ; 3              ; 0            ; 3              ; 29     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst|piso_ind                                ; 28    ; 24             ; 0            ; 24             ; 27     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|ctrl_inst                                         ; 68    ; 6              ; 0            ; 6              ; 51     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[7].encoder|enc_inst             ; 26    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[7].encoder|f2|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[7].encoder|f2                   ; 3     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[7].encoder|f1|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[7].encoder|f1                   ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[7].encoder|f0|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[7].encoder|f0                   ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[7].encoder                      ; 28    ; 2              ; 1            ; 2              ; 67     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[6].encoder|enc_inst             ; 26    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[6].encoder|f2|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[6].encoder|f2                   ; 3     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[6].encoder|f1|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[6].encoder|f1                   ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[6].encoder|f0|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[6].encoder|f0                   ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[6].encoder                      ; 28    ; 2              ; 1            ; 2              ; 67     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[5].encoder|enc_inst             ; 26    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[5].encoder|f2|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[5].encoder|f2                   ; 3     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[5].encoder|f1|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[5].encoder|f1                   ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[5].encoder|f0|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[5].encoder|f0                   ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[5].encoder                      ; 28    ; 2              ; 1            ; 2              ; 67     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[4].encoder|enc_inst             ; 26    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
